"","prolific_id","message_framing","nudge","letter","allocated_wild_300","allocated_uk_300","alt","sympathy","behaviour","sufficiency","financial","flood","climate_change","climate_scores","social_norm","social_norm_donation","ego","efficacy","finance_security","experience","connectedness","gender","age","ethnicity","other_ethn","education","MD_index","education_rank"
"254","5c18d25ce1246f0001806eb3","es-global","present","F",0.5,0.5,0,35,40,20,1.23252136442582,0,0,1.63499068092482,30,20,25,20,13.25,40,4,"(3) Male",49.5,"(1) White or Caucasian","0","(3) A-level or equivalent including vocational equivalents",3,3
"255","5bcac5754f22df00010ed7ee","es-local","absent","C",0.333333333333333,0.333333333333333,0.333333333333333,40,38,6,-0.619888767025943,0,0,1.63499068092482,31,2,5,12,16.5,16,4.16666666666667,"(3) Male",49.5,"(1) White or Caucasian","0","(5) Higher degree",10,5
"256","5cf4dfa4a602eb001be2e8c5","es-global","present","F",0.25,0.333333333333333,0.416666666666667,35,56,10,-0.442753763244727,0,17,-0.422169062748826,29,1,13,10,8,20,5.16666666666667,"(1) Female",69.5,"(1) White or Caucasian","0","(5) Higher degree",4,5
"257","58bd6fb131de840001e84778","es-global","present","F",0.5,0.5,0,35,49,9,-0.659126542870738,0,18,-0.55366596246785,32,5,12,6,15.25,15,4.16666666666667,"(3) Male",69.5,"(1) White or Caucasian","0","(3) A-level or equivalent including vocational equivalents",10,3
"258","5e21a211061ea84908aaf512","es-global","present","F",0.333333333333333,0.333333333333333,0.333333333333333,40,46,15,0.578558433679229,0,2,1.40935298793377,20,10,17,15,15,20,4.33333333333333,"(3) Male",49.5,"(1) White or Caucasian","0","(2) O-level/GCSE or equivalent including vocational equivalents",8,2
"259","5e5f96a3394d082dd45cbd01","es-local","absent","C",0.666666666666667,0.166666666666667,0.166666666666667,37,64,14,0.941063107988033,1,8,0.701873850872471,32,5,23,15,11,29,4.83333333333333,"(3) Male",21,"(2) Other","0","(2) O-level/GCSE or equivalent including vocational equivalents",3,2
"260","5d2e3cdf6835130001aa16f0","es-global","absent","E",0.0666666666666667,0.866666666666667,0.0666666666666667,22,18,6,-1.06862816745728,2,13,0.0893869732463767,27,5,15,10,7,27,5.33333333333333,"(1) Female",59.5,"(1) White or Caucasian","0","(4) Undergraduate degree",10,4
"261","59e91d78d4ab970001389c67","es-local","present","D",0.416666666666667,0.416666666666667,0.166666666666667,32,49,12,-0.888578581111682,4,6,0.905438466460599,14,0,12,10,4.5,40,5.5,"(3) Male",69.5,"(1) White or Caucasian","0","(4) Undergraduate degree",4,4
"262","5e1a6afc388ec92e8386ad9a","biodiversity","absent","A",1,0,0,33,58,12,-0.757785994962363,0,21,-0.840334832626546,27,0,26,12,3.25,23,5.83333333333333,"(3) Male",49.5,"(1) White or Caucasian","0","(2) O-level/GCSE or equivalent including vocational equivalents",1,2
"263","5d32d0de4e8363001535f3a2","es-local","absent","C",0.5,0.5,0,28,67,14,-0.895683222898783,0,5,0.977506182329704,29,5,18,12,0,17,6.83333333333333,"(1) Female",59.5,"(1) White or Caucasian","0","(3) A-level or equivalent including vocational equivalents",4,3
"264","598c4b28cceb0f0001b39675","biodiversity","present","B",0.133333333333333,0.2,0.666666666666667,34,62,12,3.5569148309744,0,0,1.63499068092482,32,50,6,14,8,20,5.33333333333333,"(3) Male",39.5,"(2) Other","0","(5) Higher degree",10,5
"265","5c5eb5f38f58370001393878","es-global","present","F",0.5,0.25,0.25,40,52,15,1.20264828028667,0,0,1.63499068092482,33,20,12,13,6.75,13,5.33333333333333,"(3) Male",39.5,"(1) White or Caucasian","0","(4) Undergraduate degree",4,4
"266","5c28d36b6fbaed00010847a8","biodiversity","absent","A",0,0.666666666666667,0.333333333333333,29,60,15,0.461975131104113,0,17,-0.433205601450289,19,2,23,8,16.75,10,3.66666666666667,"(3) Male",49.5,"(1) White or Caucasian","0","(4) Undergraduate degree",5,4
"267","5c9ed757d254710012621dd2","biodiversity","present","B",0.333333333333333,0.666666666666667,0,33,74,11,-0.0100082039927046,12,7,0.777336590921006,22,5,7,10,11.5,28,5.66666666666667,"(3) Male",29.5,"(2) Other","0","(5) Higher degree",6,5
